name,id,tier,rarity,tech/manufacturer,tags,uiTags,base value,unlocked,hidden,hiddenEverywhere,cost_frigate,cost_dest,cost_cruiser,cost_capital,script,desc,short,sprite
Monobloc Construction,dcp_monobloc,,,,,,,,TRUE,,0,0,0,0,data.hullmods.MonoblocConstruction,This ship has been built using the latest proprietary techniques in systems integration.,"Improves EMP resistance, dissipation speed, and vent speed, reduces overload duration and weapon range above 600/700/800/1000 units and increases 0-flux speed boost. Blocks Heavy Armor.",graphics/DCP/hullmods/dcp_monobloc.png
Sigma Reaction Furnace,dcp_reactionfurnace,,,,,,,,TRUE,,0,0,0,0,data.hullmods.SkipspaceReactionFurnace,"This advanced ship has an integral Sigma-matter reaction furnace, giving it excellent performance in combat, but equally impressive maintenance requirements.","Improves EMP resistance, vent speed, and sensor stealth. Blocks Safety Overrides and Resistant Flux Conduits. Increases 0-flux speed boost.",graphics/DCP/hullmods/dcp_reactionfurnace.png
Targeting Optics,dcp_rangefinder,,,,,,,,TRUE,,0,0,0,0,data.hullmods.dcp_Rangefinder,A dedicated rangefinding suite increases leading accuracy for all weapons by %s.,Increases leading accuracy and range threshold for all weapons.,graphics/DCP/hullmods/dcp_rangefinder.png
Advanced Nav Relay,dcp_advnavrelay,,,,,,,,TRUE,,0,0,0,0,data.hullmods.dcp_AdvNavRelay,"When deployed in combat, increases the top speed of other ships in your fleet by %s/%s/%s/%s, depending on this ship's hull size.",Increases top speed of other ships.,graphics/DCP/hullmods/dcp_advnavrelay.png
Sixth Bureau Upgrades,dcp_6eme_upgr,,,,,,,,TRUE,,0,0,0,0,data.hullmods.SixthBureau,"This ship has been painstakingly upgraded to the elite specifications of the Sixth Bureau, lowering the sensor profile by %s percent, increasing flux capacity and dissipation by %s percent and increasing supply use by %s percent.",Reduced sensor profile and increased OP.,graphics/DCP/hullmods/dcp_6eme_upgr.png
,,,,,,,,,,,,,,,,,,
Refurbished Frame,dcp_refurbframe,,,,,,,,TRUE,,0,0,0,0,data.hullmods.RefurbishedFrame,"A thorough, if questionably legal, refurbishing process has removed much of the proprietary Dassault-Mikoyan hardware of this ship, and replaced it with standard components to ease maintenance. The consequent loss of performance is considered acceptable.","Improves the ship's repair rate, and CR recovery.",graphics/DCP/hullmods/dcp_refurbframe.png
,,,,,,,,,,,,,,,,,,
Sigma Matter Engineering,dcp_bbengineering,,,,,,,,TRUE,,0,0,0,0,data.hullmods.BladeBreakerEngineering,This ship uses Sigma-matter power generation and engineering techniques at every stage of the production process to achieve unprecedented performance - at equally unprecedented costs.,"Discounts weapon OP, allows dissipating hard flux while shields are up, increases maintenance costs. Blocks Safety Overrides and Converted Hangar.",graphics/DCP/hullmods/dcp_bbengineering.png
Breaker Assault Focus,dcp_bbassault,3,0.5,Blade Breakers,"req_spaceport, engines, offensive, no_build_in, dcp_breaker_package, bladebreakers, restricted","Requires Dock, Engines",,FALSE,,,10,20,30,50,data.hullmods.BladeBreakerAssault,"This ship has been optimized for assault roles. A dangerously overtuned Sigma reactor pumps excess energy into the drive systems, increasing thrust and maneuvering potential - and the danger of engine damage - as the ship builds flux.","Increases zero-flux speed bonus by 50, reduces weapon flux cost by 25 percent. Doubles flux dissipation and trims all ranges to 600su or less.",graphics/DCP/hullmods/dcp_bbassaultfocus.png
Breaker Defense Focus,dcp_bbdefense,3,0.5,Blade Breakers,"req_spaceport, defensive, no_build_in, dcp_breaker_package, bladebreakers, restricted","Requires Dock, Defenses",,FALSE,,,5,10,15,30,data.hullmods.BladeBreakerDefense,This ship has been optimized for defensive roles. A simple modification to the Sigma reactor allows excess power to be diverted to shielding and armor-enhancement systems.,"Increases turret turn rate by 50 percent, and shield efficiency by 20 percent. Also reduces the chance of shield-piercing weapons penetrating the shield. Reduces incoming HE and Energy damage by 20 percent. ",graphics/DCP/hullmods/dcp_bbdefensefocus.png
Breaker Support Focus,dcp_bbsupport,3,0.5,Blade Breakers,"req_spaceport, offensive, no_build_in, dcp_breaker_package, bladebreakers, restricted","Requires Dock, Weapons",,FALSE,,,5,10,15,30,data.hullmods.BladeBreakerSupport,This ship has been optimized for support roles. Specially-designed Sigma-decay rangefinding equipment allows gunners to make hits at longer range.,"Increases weapon range by a flat 100/200/300/400s units, depending on hull size. Increases weapon and engine health by 100 percent.",graphics/DCP/hullmods/dcp_bbsupportfocus.png
